sid,qid,block,query,ev_place,dom
S01796,Q27,비CBRN,테러 예고 글,,unknown
S01801,Q09,산업,유독가스 누출 대피,,unknown
S01809,Q09,산업,유독가스 누출 대피,화성시 서신면,domestic
S01811,Q26,비CBRN,폭발물 협박,광명시,domestic
S01813,Q01,산업,불산 누출,화성시,domestic
S01816,Q26,비CBRN,폭발물 협박,인천시,domestic
S01832,Q16,안보,방사능 유출,일본 미야기현,foreign
S01837,Q21,비CBRN,폭발물 테러,,foreign_by_text
S01839,Q08,산업,질산 누출,포항시,domestic
S01840,Q07,산업,톨루엔 누출,대구시 서구,domestic
S01842,Q21,비CBRN,폭발물 테러,러시아 사할린주,foreign
S01843,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S01847,Q04,산업,황산 유출 사고,창원시 마산회원구,domestic
S01849,Q12,안보,사린가스 공격,프랑스 파리,foreign
S01852,Q05,산업,화학공장 폭발,화성시 서신면,domestic
S01855,Q25,비CBRN,차량 돌진 테러,성남시 분당구,domestic
S01856,Q11,안보,화학무기 사용,모스크바,foreign
S01858,Q08,산업,질산 누출,제주시 영평동,domestic
S01863,Q29,비CBRN,공항 폭발물 신고,광주 광산구,domestic
S01866,Q24,비CBRN,총기 난사,모스크바,foreign
S01867,Q26,비CBRN,폭발물 협박,미국 스프링필드,foreign
S01869,Q04,산업,황산 유출 사고,서울 성동구 행당동,domestic
S01871,Q29,비CBRN,공항 폭발물 신고,광주 광산구,domestic
S01875,Q26,비CBRN,폭발물 협박,인천시,domestic
S01880,Q26,비CBRN,폭발물 협박,,unknown
S01881,Q27,비CBRN,테러 예고 글,서울시,domestic
