seed,fold,model,acc,macro_f1,event_f1,event_prec,event_rec
2,4,abl_char_title,0.731239092495637,0.6451427044407123,0.827027027027027,0.827027027027027,0.827027027027027
2,4,abl_word_tb,0.7015706806282722,0.6068689799460946,0.8401084010840109,0.842391304347826,0.8378378378378378
2,4,abl_char_tb_bk,0.7277486910994765,0.6658819591686369,0.83008356545961,0.8563218390804598,0.8054054054054054
3,0,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
3,0,base_random,0.1986062717770035,0.17893353195652328,0.2222222222222222,0.2920353982300885,0.1793478260869565
3,0,base_keyword,0.32229965156794427,0.17436395521381357,0.509915014164306,0.5325443786982249,0.4891304347826087
3,0,proposed_char_tb,0.7787456445993032,0.6972994473781192,0.8610354223433242,0.8633879781420765,0.8586956521739131
3,0,proposed@산업,0.8673469387755102,0.8054531714582497,0.9176470588235294,,
3,0,proposed@안보,0.6894736842105263,0.5791368956797222,0.45161290322580644,,
3,0,proposed@비CBRN,0.776595744680851,0.6417301607928522,0.8795180722891566,,
3,0,abl_char_title,0.759581881533101,0.6633968662695454,0.8655913978494624,0.8563829787234043,0.875
3,0,abl_word_tb,0.7543554006968641,0.6535050252868507,0.8906666666666667,0.8743455497382199,0.907608695652174
3,0,abl_char_tb_bk,0.7787456445993032,0.6956744790364169,0.875,0.875,0.875
3,1,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
3,1,base_random,0.18989547038327526,0.17552177095617122,0.22591362126245848,0.2905982905982906,0.18478260869565216
3,1,base_keyword,0.3205574912891986,0.17330506659814127,0.5138121546961326,0.5224719101123596,0.5054347826086957
3,1,proposed_char_tb,0.7822299651567944,0.741219898812238,0.8888888888888888,0.865979381443299,0.9130434782608695
3,1,proposed@산업,0.8613861386138614,0.7604729739853819,0.9326424870466321,,
3,1,proposed@안보,0.6987951807228916,0.6943722943722943,0.5625,,
3,1,proposed@비CBRN,0.7718446601941747,0.7063470814306511,0.9019607843137255,,
3,1,abl_char_title,0.7334494773519163,0.691910442974694,0.8657534246575342,0.8729281767955801,0.8586956521739131
